year;quartal;aktual;period;YLt - Yt;AT;Tt;St;Forecast;e;MSE;MAPE;;alpha ;0,01
2019;1;471;1;-279;;;5,75;;;;;;beta ;0,01
2019;2;331;2;-9;;;-134,25;;;;;;gamma;0,37
2019;3;221;3;468;;;-244,25;;;;;;;
2019;4;361;4;-158;;;-104,25;;;;;;;
2019;5;601;5;180;;;135,75;;;;;;;
2019;6;491;6;-324;;;25,75;;;;;;;
2019;7;762;7;-637;;;296,75;;;;;;;
2019;8;120;8;207;;;-345,25;;;;;;;
2019;9;848;9;-325;;;382,75;;;;;;;
2019;10;644;10;-245;;;178,75;;;;;;;
2019;11;170;11;-45;;;-295,25;;;;;;;
2019;12;563;12;-400;465,25;-10,88194444;97,75;460,1180556;-114,5281188;13116,68998;677,5281188;;;
2020;1;192;13;;451,686875;-10,90875625;78,69873981;306,5281188;136,2243715;18557,07939;55,7756285;;;
2020;2;322;14;;440,9328376;-10,90720906;38,59816735;185,7756285;369,0490144;136197,175;47,04901441;;;
2020;3;689;15;;435,0578722;-10,85688662;105,0695481;319,9509856;-344,912894;118964,9045;1033,912894;;;
2020;4;203;16;;423,0314757;-10,86858172;13,45387524;547,912894;351,6015079;123623,6204;148,6015079;;;
2020;5;781;17;;414,4937651;-10,84527301;378,505251;429,3984921;-519,9029943;270299,1235;1300,902994;;;
2020;6;167;18;;401,0245071;-10,87151286;82,03495976;686,9029943;96,64373883;9340,012255;70,35626117;;;
2020;7;125;19;;384,5339643;-10,92770316;237,2457502;28,35626117;-421,4448598;177615,7698;546,4448598;;;
2020;8;327;20;;376,5926986;-10,89783879;-92,48529965;748,4448598;-8,270027902;68,3933615;335,2700279;;;
2020;9;523;21;;363,4404112;-10,92038327;438,6830418;531,2700279;353,9862827;125306,2883;169,0137173;;;
2020;10;399;22;;351,1973276;-10,93361028;264,2879358;45,01371735;-302,8879685;91741,12148;701,8879685;;;
2020;11;125;23;;341,0635802;-10,92561165;-135,7150237;427,8879685;-232,2357282;53933,43346;357,2357282;;;
2020;12;163;24;;327,4890888;-10,95210044;125,9447772;395,2357282;-138,2515744;19113,49784;301,2515744;;;
2021;1;204;25;;314,6246311;-10,97122402;129,119559;342,2515744;200,6349098;40254,36702;3,365090227;;;
