Year;Quarter;Employment;Periode;??_(??+??)???_??;At;Tt;St;Forecast;e;MSE;MAPE;;Alpha;0,01
2019;1;47;1;-13745;;;-819,8333333;;;;;;Beta;0,02
2019;2;3431;2;3427,851;;;2564,166667;;;;;;Gamma;0,05
2019;3;921;3;232;;;54,16666667;;;;;;;
2019;4;861;4;658;;;-5,833333333;;;;;;;
2019;5;60;5;-18;;;-806,8333333;;;;;;;
2019;6;891;6;724;;;24,16666667;;;;;;;
2019;7;762;7;637;;;-104,8333333;;;;;;;
2019;8;1204;8;877;;;337,1666667;;;;;; ;
2019;9;848;9;796;;;-18,83333333;;;;;;;
2019;10;644;10;245;;;-222,8333333;;;;;;;
2019;11;170;11;45;;;-696,8333333;;;;;;;
2019;12;563;12;400;866,8333333;-39,73020139;-303,8333333;;;;;;;
2020;1;13792;13;;964,950434;-36,97325535;-137,4891884;7,269798611;13784,7302;190018786,7;7,269798611;;;
2020;2;3,149;14;;893,0872302;-37,67105432;2391,461422;3492,143845;-3488,994845;12173085,03;3492,143845;;;
2020;3;689;15;;853,2103474;-37,71517089;43,24781596;909,5828425;-220,5828425;48656,79041;909,5828425;;;
2020;4;203;16;;809,4285581;-37,83650325;-35,86309457;809,6618432;-606,6618432;368038,592;809,6618432;;;
2020;5;78;17;;772,7244676;-37,813855;-801,22789;-35,24127849;113,2412785;12823,58715;35,24127849;;;
2020;6;167;18;;728,9898398;-37,93227045;-5,141158658;759,0772793;-592,0772793;350555,5047;759,0772793;;;
2020;7;125;19;;686,445327;-38,0245153;-127,663933;586,224236;-461,224236;212727,7959;586,224236;;;
2020;8;327;20;;641,8349369;-38,1562328;304,5665865;985,5874784;-658,5874784;433737,4667;985,5874784;;;
2020;9;52;21;;598,3502504;-38,26280187;-45,20917919;584,8453708;-532,8453708;283924,1892;584,8453708;;;
2020;10;399;22;;560,7049074;-38,2504527;-219,776912;337,2541152;61,74588478;3812,554287;337,2541152;;;
2020;11;125;23;;525,4482435;-38,19057692;-682,0140788;-174,3788786;299,3788786;89627,71297;174,3788786;;;
2020;12;163;24;;487,0534232;-38,19466179;-304,8443378;183,4243332;-20,42433324;417,1533883;183,4243332;;;
2021;1;20;25;;445,9450657;-38,2529357;-151,9119822;311,3695731;-291,3695731;84896,22812;311,3695731;;;
2021;2;6021;26;;439,9105945;-37,60856641;2550,942821;2799,153552;3221,846448;10380294,54;2799,153552;;;
2021;3;1066;27;;408,5065297;-37,48447638;73,96009868;445,5498441;620,4501559;384958,396;445,5498441;;;
2021;4;544;28;;373,1104637;-37,44270817;-25,52546303;335,1589587;208,8410413;43614,58053;335,1589587;;;
2021;5;85;29;;341,1733569;-37,33259614;-773,9751634;-465,5601345;550,5601345;303116,4617;465,5601345;;;
2021;6;420;30;;305,0537647;-37,30833607;0,86321104;298,6996021;121,3003979;14713,78654;298,6996021;;;
2021;7;5;31;;266,3946137;-37,33535236;-134,3504671;140,0814956;-135,0814956;18247,01046;140,0814956;;;
2021;8;90;32;;224,6230028;-37,42407753;282,607107;533,6258478;-443,6258478;196803,8928;533,6258478;;;
2021;9;39;33;;186,1690278;-37,44467548;-50,30717162;141,9897461;-102,9897461;10606,8878;141,9897461;;;
2021;10;340;34;;152,834878;-37,36246497;-199,4298103;-71,05255968;411,0525597;168964,2068;71,05255968;;;
2021;11;70;35;;121,8378296;-37,23515664;-650,5052664;-566,5416659;636,5416659;405185,2924;566,5416659;;;
2021;12;65;36;;87,45508965;-37,1781083;-290,7248754;-220,2416648;285,2416648;81362,80735;220,2416648;;;
2022;1;8;37;;51,37333135;-37,1561813;-146,4850497;-101,6350009;109,6350009;12019,83342;101,6350009;;;
2022;2;18347;38;;172,0355503;-33,9998133;3332,143902;2565,159971;15781,84003;249066474,7;2565,159971;;;
2022;3;4,246;39;;135,9582387;-34,04136327;63,67648181;211,9958357;-207,7498357;43159,99424;211,9958357;;;
